id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
florence-finance-medici,ffm,Florence Finance Medici,0.056335939264149,4549679.0,1853.0,56378689.0,63260.0,0.063427,0.055840999999999995,-0.005348568908793001,-8.67085,-435040.6583977593,-8.72749,80698558.8978857,1000000000.0,1000000000.0
etherland,eland,Etherland,0.09997596720245101,4041438.0,1902.0,4104130.0,23300.0,0.10578499999999999,0.09633000000000001,-0.004526898332569001,-4.33184,-181099.09002908133,-4.28887,40397413.66539276,41024063.0,63343034.0
wecoin,weco,WECOIN,0.00048336341558900006,4019681.0,1910.0,4788998.0,153686.0,0.0005117,0.00045861000000000003,1.377e-05,2.9330100000000003,94905.0,2.4181,8360000000.0,9960000000.0,10000000000.0
empowa,emp,Empowa,0.11385836922720201,3376115.0,1998.0,22771674.0,995.8,0.12528699999999998,0.11313799999999999,-0.008140533808591,-6.67263,-240431.11032546498,-6.64809,29651882.394,200000000.0,200000000.0
epoch-island,epoch,Epoch Island,0.040675645165979005,3268604.0,2019.0,3305894.0,15748.12,0.04692351,0.040279260000000004,-0.0052448646613060005,-11.42162,-426167.71931752795,-11.53435,80362658.6927126,81279470.3701126,
ixo,ixo,IXO,0.029565576992517002,2561562.0,2153.0,3733245.0,4241.61,0.048360850000000004,0.02957114,-0.013649963496541,-31.58578,-1182892.2354259952,-31.590510000000002,86640000.0,126270000.0,150000000.0
tia,tia,TIA,0.012035809990821001,2388140.0,2196.0,12171303.0,86252.0,0.013327499999999999,0.01162333,0.00041085,3.53424,83077.0,3.60412,198172790.65029177,1010000000.0,1010000000.0
cryptofranc,xchf,CryptoFranc,1.083380215122926,2056762.0,2280.0,7706075.0,3429.52,1.13,1.073,-0.032143201185432,-2.88145,-58803.58963875822,-2.77957,1895000.0,7100000.0,7100000.0
imo,imo,IMO,0.15712506251785902,1751094.0,2369.0,2951519.0,2364.49,0.165601,0.15589699999999998,-0.004461822234145,-2.76125,-40662.961582572665,-2.26945,11140257.447044,18777218.5420312,20000000.0
aurusx,ax,AurusX,0.585993293779261,1671868.0,2387.0,17574614.0,210029.0,0.673236,0.5804549999999999,-0.08533829640250301,-12.7118,-244439.88938378775,-12.75577,2853891.44,30000000.0,30000000.0
labs-group,labsv2,LABSV2,0.0006254583938990001,1330255.0,2524.0,6255452.0,129299.0,0.00069339,0.00062332,-4.7665420677895004e-05,-7.08123,-100317.71139653772,-7.01242,2126552471.4464,10000000000.0,10000000000.0
osean,osean,Osean,0.0014087549515910001,1197750.0,2580.0,1381182.0,13469.34,0.001503,0.00140555,-6.0198523025417005e-05,-4.09806,-77412.6421600217,-6.07081,849848136.7760828,980000000.0,1000000000.0
dastra-network,dan,Dastra Network,0.006571210556671,822186.0,2799.0,3418223.0,27260.0,0.00962508,0.0065717,-0.0030050105144660004,-31.37992,-374820.93593593093,-31.31317,125075791.738,520000000.0,1000000000.0
ureeqa,urqa,UREEQA,0.016615561928936002,678144.0,2906.0,1668201.0,49270.0,0.021201150000000002,0.01515994,-0.004528585278129001,-21.41768,-182462.08000878466,-21.20158,40651220.0,100000000.0,100000000.0
rentible,rnb,Rentible,0.065293753867476,654597.0,2921.0,654597.0,2626.48,0.07048,0.064744,-0.004465565942277001,-6.40139,-42192.1252588412,-6.05522,10000000.0,10000000.0,10000000.0
poison-finance,poi$on,Poison Finance,0.12394809172541701,559890.0,3003.0,444005.0,2626.67,0.131178,0.12360499999999999,-0.004002846090329,-3.12842,-19211.270682815462,-3.31743,4517305.0642306,3582326.607813,
barter,brtr,Barter,0.013224659760207001,10358.3,4202.0,231394.0,687.65,0.01652212,0.01099661,0.00222518,20.22988,1741.81,20.21479,783383.72258276,17500000.0,
staked-usdt,stusdt,Staked USDT,0.9995695966015551,0.0,,,1.25,1.0,0.997223,0.0010332100000000001,0.10347,0.0,0.0,0.0,,
fathom-dollar,fxd,Fathom Dollar,0.999705592372592,0.0,,,402617.0,1.004,0.9940009999999999,-0.000488653291436,-0.04886,0.0,0.0,0.0,296903.0,-2.0
fathom-protocol,fthm,Fathom Protocol,0.21605228675429702,0.0,,216057732.0,65842.0,0.216391,0.21409399999999998,0.00116248,0.5409700000000001,0.0,0.0,0.0,1000000000.0,1000000000.0
3dpass,p3d,3DPass,0.011651549383473,0.0,,,76209.0,0.01226545,0.01051612,0.00016984000000000001,1.47926,0.0,0.0,0.0,,1000000000.0
draggable-aktionariat-ag,daks,Draggable Aktionariat AG,14.1282288394809,0.0,,7487961.0,19404.14,,,,,,,0.0,530000.0,1330000.0
international-stable-currency,isc,International Stable Currency,1.6906918166036622,0.0,,388859.0,46377.0,1.72,1.6600000000000001,-0.005251002233346001,-0.30962,0.0,0.0,0.0,230000.0,
inx-token-2,inx,INX Token,0.27008768631364,0.0,,54017537.0,6536.12,0.300133,0.269433,-0.029912313686359004,-9.97077,0.0,0.0,0.0,200000000.0,
lumishare,lumi,Lumishare,0.09552890328261501,0.0,,759613030.0,94781.0,0.11189299999999999,0.089711,-0.00047315458343800005,-0.49286,0.0,0.0,0.0,7951656555.0,7951656555.0
