id_coingecko,symbol,name,class,centralized,isMultiplatforms,market_cap,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,current_price,circulating_supply,total_supply,max_supply,fully_diluted_valuation,market_cap_change_percentage_24h,rank,date
immutable-x,imx,Immutable,1,0,0,6356893938.0,99469710.0,4.86,4.36,-0.33231270568198,-14.17866,-482078124.48597336,4.355194223462958,2913630498.779628,4000000000.0,4000000000.0,8727110648.0,-14.09798,38.0,28/04/2024
floki,floki,FLOKI,1,0,1,3583818466.0,588523888.0,0.00040852,0.00036084,-2.6507875234922e-05,-13.46436,-233830126.51174304,0.000367240986956,19422527729512.0,20000000000000.0,20000000000000.0,3690372866.0,-12.24996,61.0,28/04/2024
gala,gala,GALA,1,0,0,3231598404.0,354364488.0,0.104118,0.0927062,-0.00973808358407,-19.08504,-331121812.1827941,0.09231128533814,69745278226.5378,69745296376.0916,100000000000.0,3231599244.0,-18.58814,67.0,28/04/2024
beam-2,beam,Beam,1,0,1,2849650052.0,83199828.0,0.0609324,0.05356324,-0.006297946348642,-21.0554,-329629069.28565407,0.053524704414886,105996286775.7774,124868016661.5134,124868016661.5134,3357005806.0,-20.73608,72.0,28/04/2024
axie-infinity,axs,Axie Infinity,1,0,1,2140012108.0,206036026.0,16.76,14.8,-0.624769576085496,-8.07794,-79353320.88150668,14.843783201419587,287319779.213054,540000000.0,540000000.0,4022022228.0,-7.151,89.0,28/04/2024
the-sandbox,sand,The Sandbox,1,0,1,2072310876.0,221877368.0,1.0115939999999999,0.91719,-0.05856223144744,-11.99088,-125846110.52581716,0.918216719787846,4515463852.446645,6000000000.0,6000000000.0,2753618600.0,-11.450140000000001,94.0,28/04/2024
ronin,ron,Ronin,1,0,0,2025928700.0,40469088.0,6.98,6.4,-0.360014221072352,-10.63078,-113028443.89809513,6.413045489539078,631749631.619916,2000000000.0,2000000000.0,6413707576.0,-10.56856,95.0,28/04/2024
apecoin,ape,ApeCoin,1,0,1,1544101366.0,137233060.0,2.72,2.46,-0.194243123563438,-14.7162,-114755189.70569348,2.445610156560512,1255681818.0,2000000000.0,2000000000.0,2459383172.0,-13.83546,117.0,28/04/2024
echelon-prime,prime,Echelon Prime,1,0,1,1369573524.0,31916536.0,40.88,35.28,-1.0787634966858801,-5.75098,-38065829.493707895,36.43705061140409,75023401.7894,222222222.0,222222222.0,4056729826.0,-5.40846,127.0,28/04/2024
illuvium,ilv,Illuvium,1,0,1,1253231394.0,21418566.0,213.44,194.58,-13.941472154945387,-13.31044,-87731429.46492839,195.5403988212932,12787614.1867574,19208822.01966458,0.0,1882532460.0,-13.08484,135.0,28/04/2024
