rank,name,symbol,market_cap,price,circulating_supply,%1h,%7h,%24h,date
24,CHNCoin,CNC,50290.86,0.009568,5256114,-0.05,-0.05,-0.05,2013-08-04
25,Anoncoin,ANC,31144.55,0.09463,329122,-0.08,-0.08,-0.08,2013-08-04
26,Luckycoin,LKY,29749.91,0.005099,5833928,-0.08,-0.08,-0.08,2013-08-04
27,Franko,FRK,27876.58,0.6203,44937,-0.08,-0.08,-0.08,2013-08-04
28,Bottlecaps,CAP,17060.19,0.02839,600949,-6.58,-6.58,-6.58,2013-08-04
29,Argentum,ARG,16856.82,0.04312,390924,0.69,0.69,0.69,2013-08-04
30,Bytecoin,BTE,16541.88,0.01787,925450,-0.08,-0.08,-0.08,2013-08-04
31,BitBar,BTB,16074.56,3.3646,4778,-0.08,-0.08,-0.08,2013-08-04
32,CasinoCoin,CSC,14231.13,0.007259,1960450,-17.17,-17.17,-17.17,2013-08-04
33,Bitgem,BTG,13796.8,0.7465,18481,-0.08,-0.08,-0.08,2013-08-04
34,CraftCoin,CRC,12671.94,0.1358,93282,-0.08,-0.08,-0.08,2013-08-04
35,Krugercoin,KGC,11865.0,0.001416,8377554,-0.08,-0.08,-0.08,2013-08-04
36,AlphaCoin,ALF,11007.47,0.001189,9256400,2.09,2.09,2.09,2013-08-04
37,Emerald,EMD,7547.09,0.005504,1371135,0.02,0.02,0.02,2013-08-04
38,GlobalCoin,GLC,6699.43,0.0004816,13912000,3.07,3.07,3.07,2013-08-04
39,Memecoin,MEM,5845.2,0.0002456,23801050,-0.15,-0.15,-0.15,2013-08-04
40,StableCoin,SBC,5538.51,0.001398,3960580,-0.08,-0.08,-0.08,2013-08-04
41,XenCoin,XNC,4593.15,2.952e-05,155573456,-15.08,-15.08,-15.08,2013-08-04
42,Noirbits,NRB,4436.24,0.007482,592920,-0.08,-0.08,-0.08,2013-08-04
43,Nibble,NBL,4053.02,0.004312,939954,-0.08,-0.08,-0.08,2013-08-04
44,Spots,SPT,2739.77,0.008837,310023,4.98,4.98,4.98,2013-08-04
45,Elacoin,ELC,2653.33,0.1178,22532,-0.08,-0.08,-0.08,2013-08-04
46,Doubloons,DBL,2585.58,0.005126,504358,-0.15,-0.15,-0.15,2013-08-04
47,Lebowskis,LBW,2581.4,0.006309,409186,0.76,0.76,0.76,2013-08-04
48,Hypercoin,HYC,2491.61,0.004865,512150,-0.08,-0.08,-0.08,2013-08-04
49,Junkcoin,JKC,1862.38,0.0002818,6608400,-0.15,-0.15,-0.15,2013-08-04
50,EZCoin,EZC,1580.38,0.000263,6008321,-0.15,-0.15,-0.15,2013-08-04
1,Bitcoin,BTC,1211789250.0,105.0,11540850,0.11,0.11,0.11,2013-08-11
2,Litecoin,LTC,54533789.26,2.6943,20240430,0.17,0.17,0.17,2013-08-11
3,XRP,XRP,34518516.1,0.004415,7817889792,0.12,0.12,0.12,2013-08-11
4,Namecoin,NMC,4222475.34,0.673,6273643,-0.57,-0.57,-0.57,2013-08-11
5,Peercoin,PPC,3159445.71,0.1585,19927126,0.26,0.26,0.26,2013-08-11
6,Feathercoin,FTC,2001729.8,0.1523,13147650,0.15,0.15,0.15,2013-08-11
7,Novacoin,NVC,1799905.11,5.146,349764,0.36,0.36,0.36,2013-08-11
8,Primecoin,XPM,1351773.92,0.8832,1530619,0.08,0.08,0.08,2013-08-11
9,Terracoin,TRC,655735.09,0.1806,3630870,-1.02,-1.02,-1.02,2013-08-11
10,Devcoin,DVC,286724.52,5.67e-05,5056869888,-0.77,-0.77,-0.77,2013-08-11
11,Digitalcoin,DGC,212140.22,0.03099,6846204,0.19,0.19,0.19,2013-08-11
12,Freicoin,FRC,158239.86,0.006616,23917574,0.15,0.15,0.15,2013-08-11
13,WorldCoin,WDC,126981.8,0.00819,15504492,1.3,1.3,1.3,2013-08-11
14,Yacoin,YAC,115933.19,0.021,5520628,-5.49,-5.49,-5.49,2013-08-11
15,Megacoin,MEC,93483.78,0.005924,15780250,-3.4,-3.4,-3.4,2013-08-11
16,Mincoin,MNC,87569.47,0.07005,1250067,4.4,4.4,4.4,2013-08-11
17,Ixcoin,IXC,85022.82,0.005784,14698514,1.39,1.39,1.39,2013-08-11
18,Infinitecoin,IFC,80005.13,1.13e-06,70605864960,1.18,1.18,1.18,2013-08-11
19,Bullion,CBX,75822.86,0.1281,591904,5.32,5.32,5.32,2013-08-11
20,Phoenixcoin,PXC,71820.28,0.02068,3472800,12.74,12.74,12.74,2013-08-11
21,GoldCoin,GLC,52649.41,0.002052,25661660,-9.18,-9.18,-9.18,2013-08-11
22,BBQCoin,BQC,47034.52,0.00211,22285962,-22.58,-22.58,-22.58,2013-08-11
23,Fastcoin,FST,40527.43,0.002364,17146848,1.49,1.49,1.49,2013-08-11
24,CHNCoin,CNC,37533.05,0.00714,5256730,0.15,0.15,0.15,2013-08-11
25,Luckycoin,LKY,26555.26,0.004479,5928440,0.46,0.46,0.46,2013-08-11
26,Franko,FRK,21158.8,0.4672,45285,0.18,0.18,0.18,2013-08-11
27,Bytecoin,BTE,17335.75,0.01869,927750,0.18,0.18,0.18,2013-08-11
28,BitBar,BTB,15576.62,3.15,4945,0.15,0.15,0.15,2013-08-11
29,Anoncoin,ANC,14967.8,0.0399,375133,0.18,0.18,0.18,2013-08-11
30,Bottlecaps,CAP,14702.6,0.021,700194,4.88,4.88,4.88,2013-08-11
31,Argentum,ARG,12398.36,0.03161,392278,0.18,0.18,0.18,2013-08-11
32,CraftCoin,CRC,11206.26,0.1201,93302,-4.5,-4.5,-4.5,2013-08-11
33,Bitgem,BTG,10887.59,0.5891,18481,0.18,0.18,0.18,2013-08-11
34,AlphaCoin,ALF,10672.25,0.00105,10164050,3.73,3.73,3.73,2013-08-11
35,Krugercoin,KGC,9407.6,0.001001,9401490,0.18,0.18,0.18,2013-08-11
36,Lebowskis,LBW,9326.64,0.01526,611238,0.18,0.18,0.18,2013-08-11
37,CasinoCoin,CSC,7667.76,0.003744,2047850,8.26,8.26,8.26,2013-08-11
38,Emerald,EMD,6647.35,0.00442,1503755,-1.04,-1.04,-1.04,2013-08-11
39,Spots,SPT,6637.76,0.01356,489559,0.18,0.18,0.18,2013-08-11
40,Memecoin,MEM,6189.61,0.0002411,25673450,9.77,9.77,9.77,2013-08-11
41,XenCoin,XNC,5307.16,3.327e-05,159515856,0.75,0.75,0.75,2013-08-11
42,GlobalCoin,GLC,5292.93,0.0003696,14320700,0.18,0.18,0.18,2013-08-11
43,StableCoin,SBC,4134.11,0.0009775,4229055,0.18,0.18,0.18,2013-08-11
44,Nibble,NBL,3958.04,0.004201,942154,0.18,0.18,0.18,2013-08-11
45,Doubloons,DBL,2749.47,0.005087,540490,4.19,4.19,4.19,2013-08-11
46,Hypercoin,HYC,2503.12,0.004887,512150,-3.77,-3.77,-3.77,2013-08-11
47,Elacoin,ELC,1895.17,0.0841,22533,0.18,0.18,0.18,2013-08-11
48,EZCoin,EZC,1559.03,0.0002411,6466571,1.77,1.77,1.77,2013-08-11
49,Junkcoin,JKC,1446.99,0.0002185,6621350,-0.53,-0.53,-0.53,2013-08-11
1,Bitcoin,BTC,1313544012.5,113.5,11573075,-0.16,-0.16,-0.16,2013-08-18
2,Litecoin,LTC,57197936.54,2.7978,20444080,-0.3,-0.3,-0.3,2013-08-18
3,XRP,XRP,43916495.73,0.005617,7817889792,-2.0,-2.0,-2.0,2013-08-18
4,Namecoin,NMC,4320531.6,0.681,6344393,-0.33,-0.33,-0.33,2013-08-18
5,Peercoin,PPC,3363135.65,0.168,20021048,0.52,0.52,0.52,2013-08-18
6,Feathercoin,FTC,2041295.25,0.1475,13834600,-0.42,-0.42,-0.42,2013-08-18
7,Novacoin,NVC,1890229.07,5.2664,358922,-0.22,-0.22,-0.22,2013-08-18
8,Primecoin,XPM,1362819.31,0.8285,1644834,3.97,3.97,3.97,2013-08-18
9,Terracoin,TRC,710540.21,0.1952,3639690,-0.16,-0.16,-0.16,2013-08-18
10,Infinitecoin,IFC,385870.29,5.28e-06,73139093504,-1.24,-1.24,-1.24,2013-08-18
11,GoldCoin,GLC,327067.37,0.01264,25879596,15.93,15.93,15.93,2013-08-18
12,Devcoin,DVC,289562.33,5.675e-05,5102419968,-0.2,-0.2,-0.2,2013-08-18
13,Digitalcoin,DGC,251720.82,0.03499,7194824,15.03,15.03,15.03,2013-08-18
14,Freicoin,FRC,197891.11,0.008093,24453494,-0.16,-0.16,-0.16,2013-08-18
15,WorldCoin,WDC,132499.67,0.008058,16442226,-0.16,-0.16,-0.16,2013-08-18
16,Yacoin,YAC,117999.8,0.02077,5681125,-0.16,-0.16,-0.16,2013-08-18
17,Bullion,CBX,93795.56,0.1475,635687,-4.57,-4.57,-4.57,2013-08-18
18,Ixcoin,IXC,93476.22,0.006305,14825906,-0.16,-0.16,-0.16,2013-08-18
19,Megacoin,MEC,93152.95,0.005903,15780250,0.4,0.4,0.4,2013-08-18
20,Mincoin,MNC,93107.61,0.07378,1262009,-0.16,-0.16,-0.16,2013-08-18
21,Phoenixcoin,PXC,63024.51,0.01815,3472900,1.55,1.55,1.55,2013-08-18
22,BBQCoin,BQC,62869.0,0.002781,22608648,17.98,17.98,17.98,2013-08-18
23,Fastcoin,FST,41369.38,0.002206,18749380,10.28,10.28,10.28,2013-08-18
24,Franko,FRK,37025.53,0.7945,46602,62.11,62.11,62.11,2013-08-18
25,CHNCoin,CNC,35798.33,0.00681,5256730,-0.16,-0.16,-0.16,2013-08-18
26,Luckycoin,LKY,28728.32,0.004768,6025064,-0.14,-0.14,-0.14,2013-08-18
27,Anoncoin,ANC,26284.27,0.06356,413535,-0.16,-0.16,-0.16,2013-08-18
28,XenCoin,XNC,17082.23,0.0001038,164508256,4.86,4.86,4.86,2013-08-18
29,Bytecoin,BTE,16368.06,0.01759,930400,-0.16,-0.16,-0.16,2013-08-18
30,Argentum,ARG,13752.44,0.03518,390924,9.64,9.64,9.64,2013-08-18
31,BitBar,BTB,12337.97,2.4073,5125,-0.16,-0.16,-0.16,2013-08-18
32,GlobalCoin,GLC,9588.58,0.0006685,14343100,-0.2,-0.2,-0.2,2013-08-18
33,AlphaCoin,ALF,9471.43,0.000849,11156250,-0.16,-0.16,-0.16,2013-08-18
34,Krugercoin,KGC,9061.5,0.0009023,10042386,-0.03,-0.03,-0.03,2013-08-18
35,Memecoin,MEM,8625.3,0.0003124,27611750,-0.27,-0.27,-0.27,2013-08-18
36,CasinoCoin,CSC,6652.47,0.002986,2227750,-1.84,-1.84,-1.84,2013-08-18
37,NanoToken,NAN,5757.75,0.007776,740462,-12.87,-12.87,-12.87,2013-08-18
38,Nibble,NBL,5737.49,0.006017,953604,-0.16,-0.16,-0.16,2013-08-18
39,EZCoin,EZC,5603.18,0.000813,6892321,-0.27,-0.27,-0.27,2013-08-18
40,CraftCoin,CRC,5109.25,0.05108,100032,-0.16,-0.16,-0.16,2013-08-18
41,Spots,SPT,4657.06,0.007094,656502,-0.16,-0.16,-0.16,2013-08-18
42,StableCoin,SBC,4575.74,0.001022,4479430,-0.16,-0.16,-0.16,2013-08-18
43,Emerald,EMD,4193.77,0.002569,1632765,-0.16,-0.16,-0.16,2013-08-18
44,Hypercoin,HYC,3836.52,0.007491,512150,-0.16,-0.16,-0.16,2013-08-18
45,Doubloons,DBL,3213.64,0.005566,577359,-0.27,-0.27,-0.27,2013-08-18
46,Elacoin,ELC,1427.12,0.06322,22575,-0.16,-0.16,-0.16,2013-08-18
1,Bitcoin,BTC,1417199162.92,122.11,11605825,-0.13,-0.13,-0.13,2013-08-25
2,Litecoin,LTC,53577769.5,2.5936,20657380,-0.38,-0.38,-0.38,2013-08-25
3,XRP,XRP,47719524.89,0.006104,7817889792,-0.13,-0.13,-0.13,2013-08-25
4,Namecoin,NMC,3939439.05,0.6142,6413743,-0.63,-0.63,-0.63,2013-08-25
5,Peercoin,PPC,3531624.24,0.1758,20084320,3.25,3.25,3.25,2013-08-25
6,Feathercoin,FTC,1885131.96,0.1307,14427900,0.41,0.41,0.41,2013-08-25
7,Novacoin,NVC,1711800.36,4.6378,369099,1.15,1.15,1.15,2013-08-25
8,Primecoin,XPM,1298228.08,0.7378,1759606,-0.29,-0.29,-0.29,2013-08-25
9,Terracoin,TRC,628218.78,0.1722,3648690,-0.13,-0.13,-0.13,2013-08-25
10,Infinitecoin,IFC,435199.15,5.81e-06,74946838528,4.64,4.64,4.64,2013-08-25
11,Devcoin,DVC,308306.94,5.983e-05,5152670208,-0.13,-0.13,-0.13,2013-08-25
12,Digitalcoin,DGC,248936.6,0.03297,7550124,-0.9,-0.9,-0.9,2013-08-25
13,Freicoin,FRC,211349.14,0.008471,24948742,0.45,0.45,0.45,2013-08-25
14,GoldCoin,GLC,170528.98,0.006534,26098070,-6.67,-6.67,-6.67,2013-08-25
15,WorldCoin,WDC,114698.19,0.00659,17404008,3.6,3.6,3.6,2013-08-25
16,Bullion,CBX,104095.81,0.1526,681969,-0.18,-0.18,-0.18,2013-08-25
17,Megacoin,MEC,96327.85,0.006104,15780250,1.24,1.24,1.24,2013-08-25
18,Yacoin,YAC,94940.73,0.01587,5980733,-0.16,-0.16,-0.16,2013-08-25
19,Ixcoin,IXC,93650.62,0.006229,15034898,-0.16,-0.16,-0.16,2013-08-25
20,Anoncoin,ANC,73233.32,0.1716,426852,-0.16,-0.16,-0.16,2013-08-25
21,Phoenixcoin,PXC,67128.49,0.01933,3472950,-0.16,-0.16,-0.16,2013-08-25
22,Quark,QRK,65187.33,0.0003834,170011648,3.75,3.75,3.75,2013-08-25
23,Fastcoin,FST,56190.49,0.00276,20361020,-0.55,-0.55,-0.55,2013-08-25
24,Mincoin,MNC,56127.27,0.04396,1276781,-0.13,-0.13,-0.13,2013-08-25
25,BBQCoin,BQC,49973.09,0.002174,22991184,-0.16,-0.16,-0.16,2013-08-25
26,CHNCoin,CNC,40121.06,0.007632,5256994,-2.75,-2.75,-2.75,2013-08-25
27,Franko,FRK,30658.91,0.6112,50165,-0.16,-0.16,-0.16,2013-08-25
28,Luckycoin,LKY,27932.83,0.004458,6265392,-0.16,-0.16,-0.16,2013-08-25
29,EZCoin,EZC,25695.56,0.003489,7365271,0.56,0.56,0.56,2013-08-25
30,Memecoin,MEM,25622.62,0.0008663,29576750,0.55,0.55,0.55,2013-08-25
31,XenCoin,XNC,25155.89,0.0001475,170536048,-4.01,-4.01,-4.01,2013-08-25
32,Doubloons,DBL,19786.37,0.03212,615928,8.65,8.65,8.65,2013-08-25
33,GameCoin,GME,18735.27,0.0003302,56732848,5.33,5.33,5.33,2013-08-25
34,Bytecoin,BTE,15650.44,0.01677,933200,-0.16,-0.16,-0.16,2013-08-25
35,BitBar,BTB,12930.4,2.4422,5295,-0.16,-0.16,-0.16,2013-08-25
36,Argentum,ARG,12459.61,0.03187,390924,-0.16,-0.16,-0.16,2013-08-25
37,AlphaCoin,ALF,9696.55,0.0008023,12086400,-0.16,-0.16,-0.16,2013-08-25
38,CasinoCoin,CSC,7181.49,0.003023,2375250,-0.16,-0.16,-0.16,2013-08-25
39,GlobalCoin,GLC,7114.72,0.0004713,15094400,-12.61,-12.61,-12.61,2013-08-25
40,NanoToken,NAN,5822.96,0.007864,740462,-0.16,-0.16,-0.16,2013-08-25
41,StableCoin,SBC,5763.95,0.00122,4724980,29.2,29.2,29.2,2013-08-25
42,Nibble,NBL,5277.8,0.005422,973454,-0.16,-0.16,-0.16,2013-08-25
43,Spots,SPT,5166.4,0.006106,846181,-0.16,-0.16,-0.16,2013-08-25
44,CraftCoin,CRC,4928.93,0.0464,106222,-1.49,-1.49,-1.49,2013-08-25
45,Emerald,EMD,3630.87,0.002044,1776235,-0.16,-0.16,-0.16,2013-08-25
46,Hypercoin,HYC,3552.22,0.006936,512150,-0.16,-0.16,-0.16,2013-08-25
47,Elacoin,ELC,1781.65,0.07876,22621,-0.16,-0.16,-0.16,2013-08-25
