0,1,2,3,4,5,6,7,8,9,date
1,BTC Bitcoin,BTC,"$1,488,566,971.96",$134.21,11.091.325  BTC,"0,64  %",--,--,,2013_04_28
2,LTC Litecoin,LTC,"$74,637,021.57",$4.3484,17.164.230  LTC,"0,80  %",--,--,,2013_04_28
3,PPC Peercoin,PPC,"$7,250,186.65",$0.3865,18.757.362  PPC,"-0,93  %",--,--,,2013_04_28
4,NMC Namecoin,NMC,"$5,995,997.19",$1.1072,5.415.300  NMC,"-0,05  %",--,--,,2013_04_28
5,TRC Terracoin,TRC,"$1,503,099.40",$0.6469,2.323.570  TRC,"0,61  %",--,--,,2013_04_28
6,DVC Devcoin,DVC,"$1,424,087.30",$0.0003261,4.366.620.160  DVC,"0,46  %",--,--,,2013_04_28
7,NVC Novacoin,NVC,"$1,162,266.30",$4.2464,273.706  NVC,"2,14  %",--,--,,2013_04_28
1,BTC Bitcoin,BTC,"$1,288,693,216.22",$115.91,11.118.050  BTC,"0,43  %","2,97  %","-13,81  %",,2013_05_05
2,LTC Litecoin,LTC,"$62,298,217.32",$3.5909,17.348.954  LTC,"0,10  %","2,87  %","-16,72  %",,2013_05_05
3,NMC Namecoin,NMC,"$6,290,543.05",$1.1510,5.465.350  NMC,"-1,19  %","8,91  %","1,64  %",,2013_05_05
4,PPC Peercoin,PPC,"$5,718,446.46",$0.3037,18.830.240  PPC,"0,31  %","2,61  %","-22,20  %",,2013_05_05
5,FTC Feathercoin,FTC,"$2,017,436.23",$0.313,6.444.650  FTC,"-12,81  %","-29,71  %",--,,2013_05_05
6,FRC Freicoin,FRC,"$1,627,438.51",$0.08114,20.057.908  FRC,"-14,89  %","-23,15  %",--,,2013_05_05
7,TRC Terracoin,TRC,"$1,367,162.39",$0.568,2.407.150  TRC,"1,13  %","-3,05  %","-12,34  %",,2013_05_05
8,DVC Devcoin,DVC,"$1,052,081.53",$0.0002388,4.406.170.112  DVC,"0,63  %","-12,41  %","-27,21  %",,2013_05_05
9,NVC Novacoin,NVC,"$1,015,804.46",$3.6871,275.503  NVC,"1,26  %","5,17  %","-11,72  %",,2013_05_05
10,MNC Mincoin,MNC,"$118,657.23",$0.1159,1.023.701  MNC,"0,31  %","-60,48  %",--,,2013_05_05
1,BTC Bitcoin,BTC,"$1,281,982,625.00",$115.00,11.147.675  BTC,"-0,03  %","-0,41  %","-1,88  %",,2013_05_12
2,LTC Litecoin,LTC,"$57,513,319.09",$3.2694,17.591.130  LTC,"0,17  %","-2,61  %","-9,91  %",,2013_05_12
3,NMC Namecoin,NMC,"$4,674,413.40",$0.8464,5.522.700  NMC,"0,02  %","0,61  %","-26,82  %",,2013_05_12
4,PPC Peercoin,PPC,"$4,585,556.07",$0.2427,18.897.820  PPC,"-1,20  %","-4,88  %","-21,46  %",,2013_05_12
5,NVC Novacoin,NVC,"$984,531.38",$3.5201,279.685  NVC,"-0,10  %","-0,28  %","-4,43  %",,2013_05_12
6,DVC Devcoin,DVC,"$983,447.61",$0.0002208,4.454.020.096  DVC,"0,58  %","3,67  %","-8,65  %",,2013_05_12
7,TRC Terracoin,TRC,"$954,262.84",$0.3807,2.506.930  TRC,"-1,02  %","-5,49  %","-33,23  %",,2013_05_12
8,FTC Feathercoin,FTC,"$820,221.45",$0.1253,6.543.450  FTC,"-0,48  %","-5,69  %","-63,30  %",,2013_05_12
9,FRC Freicoin,FRC,"$748,241.76",$0.03596,20.807.988  FRC,"0,02  %","-20,35  %","-59,81  %",,2013_05_12
10,CNC CHNCoin,CNC,"$489,370.40",$0.0966,5.065.946  CNC,"2,83  %","-11,26  %",--,,2013_05_12
11,MNC Mincoin,MNC,"$247,203.65",$0.237,1.042.987  MNC,"-0,03  %","8,04  %","90,65  %",,2013_05_12
12,BQC BBQCoin,BQC,"$156,410.47",$0.0092,17.001.138  BQC,"-2,70  %","-15,27  %",--,,2013_05_12
13,IXC Ixcoin,IXC,"$147,029.97",$0.01162,12.653.618  IXC,"-0,33  %","-16,83  %",--,,2013_05_12
14,BTB BitBar,BTB,"$82,905.80",$28.86,2872  BTB,"13,72  %","35,30  %",--,,2013_05_12
1,BTC Bitcoin,BTC,"$1,363,205,019.90",$121.99,11.174.725  BTC,"-0,35  %","-1,14  %","5,70  %",,2013_05_19
2,LTC Litecoin,LTC,"$58,760,675.05",$3.3035,17.787.454  LTC,"-0,80  %","-0,19  %","0,98  %",,2013_05_19
3,NMC Namecoin,NMC,"$4,789,082.16",$0.8576,5.584.350  NMC,"0,94  %","5,72  %","0,51  %",,2013_05_19
