0,1,2,3,4,5,6,7,8,9,date
4,PPC Peercoin,PPC,"$3,934,412.36",$0.2074,18.971.716  PPC,"-1,26  %","15,47  %","-14,73  %",,2013_05_19
5,NVC Novacoin,NVC,"$1,020,004.70",$3.6182,281.908  NVC,"-1,48  %","-2,24  %","1,88  %",,2013_05_19
6,TRC Terracoin,TRC,"$934,991.48",$0.3587,2.606.970  TRC,"-0,88  %","-4,51  %","-6,12  %",,2013_05_19
7,DVC Devcoin,DVC,"$906,212.77",$0.0002013,4.502.170.112  DVC,"0,08  %","3,91  %","-8,15  %",,2013_05_19
8,FTC Feathercoin,FTC,"$833,818.95",$0.1269,6.572.250  FTC,"0,34  %","-0,47  %","0,72  %",,2013_05_19
9,FRC Freicoin,FRC,"$711,435.19",$0.03416,20.827.516  FRC,"-0,34  %","7,07  %","-7,13  %",,2013_05_19
10,CNC CHNCoin,CNC,"$485,058.81",$0.09515,5.097.714  CNC,"0,76  %","-4,04  %","-0,39  %",,2013_05_19
11,MNC Mincoin,MNC,"$207,096.26",$0.1952,1.061.031  MNC,"-0,35  %","-12,13  %","-17,93  %",,2013_05_19
12,IXC Ixcoin,IXC,"$154,515.88",$0.01221,12.653.618  IXC,"8,43  %","20,52  %","-0,55  %",,2013_05_19
13,BTB BitBar,BTB,"$128,439.08",$42.70,3008  BTB,"15,43  %","-2,16  %","21,68  %",,2013_05_19
14,BQC BBQCoin,BQC,"$123,231.29",$0.007075,17.416.812  BQC,"-6,78  %","-5,29  %","-24,13  %",,2013_05_19
1,BTC Bitcoin,BTC,"$1,495,292,967.14",$133.48,11.202.375  BTC,"-1,16  %","1,74  %","9,61  %",,2013_05_26
2,LTC Litecoin,LTC,"$58,458,016.95",$3.2489,17.993.154  LTC,"-0,37  %","4,65  %","-1,02  %",,2013_05_26
3,NMC Namecoin,NMC,"$5,251,485.27",$0.9304,5.644.600  NMC,"-2,32  %","-1,64  %","8,05  %",,2013_05_26
4,PPC Peercoin,PPC,"$3,612,498.62",$0.1895,19.059.134  PPC,"-6,42  %","-9,94  %","-9,29  %",,2013_05_26
5,NVC Novacoin,NVC,"$1,225,595.40",$4.3087,284.444  NVC,"-2,43  %","3,43  %","18,24  %",,2013_05_26
6,DVC Devcoin,DVC,"$915,607.00",$0.0002015,4.542.720.000  DVC,"-0,82  %","1,54  %","-1,00  %",,2013_05_26
7,TRC Terracoin,TRC,"$842,448.90",$0.3123,2.697.190  TRC,"-3,42  %","-9,58  %","-12,35  %",,2013_05_26
8,FRC Freicoin,FRC,"$687,220.00",$0.0327,21.014.232  FRC,"-1,19  %","5,72  %","-5,50  %",,2013_05_26
9,FTC Feathercoin,FTC,"$654,331.38",$0.09878,6.624.450  FTC,"-2,47  %","-5,59  %","-21,17  %",,2013_05_26
10,CNC CHNCoin,CNC,"$374,915.45",$0.07341,5.106.866  CNC,"-2,95  %","-1,54  %","-22,36  %",,2013_05_26
11,MNC Mincoin,MNC,"$130,393.11",$0.1218,1.070.899  MNC,"-9,23  %","11,89  %","-37,73  %",,2013_05_26
12,IXC Ixcoin,IXC,"$127,367.86",$0.01007,12.653.618  IXC,"-1,19  %","2,98  %","-15,45  %",,2013_05_26
13,BQC BBQCoin,BQC,"$114,258.29",$0.006407,17.833.240  BQC,"-2,35  %","-6,72  %","-11,35  %",,2013_05_26
14,WDC WorldCoin,WDC,"$61,369.21",$0.02565,2.392.562  WDC,"-0,10  %","-10,51  %",--,,2013_05_26
15,BTB BitBar,BTB,"$54,030.08",$17.36,3113  BTB,"-1,19  %","-2,67  %","-56,63  %",,2013_05_26
1,BTC Bitcoin,BTC,"$1,373,839,383.45",$122.29,11.234.075  BTC,"1,00  %","-5,23  %","-9,13  %",,2013_06_02
2,LTC Litecoin,LTC,"$49,625,738.78",$2.7271,18.197.154  LTC,"0,85  %","-3,62  %","-16,04  %",,2013_06_02
3,NMC Namecoin,NMC,"$4,038,794.14",$0.7093,5.694.100  NMC,"0,82  %","-5,36  %","-24,94  %",,2013_06_02
4,PPC Peercoin,PPC,"$2,899,779.44",$0.1516,19.122.498  PPC,"1,39  %","-5,69  %","-23,08  %",,2013_06_02
5,NVC Novacoin,NVC,"$1,117,980.01",$3.9048,286.310  NVC,"0,93  %","-6,74  %","-10,46  %",,2013_06_02
6,DVC Devcoin,DVC,"$674,189.93",$0.0001467,4.594.120.192  DVC,"1,00  %","-0,73  %","-27,32  %",,2013_06_02
7,TRC Terracoin,TRC,"$662,838.49",$0.2385,2.779.550  TRC,"1,00  %","-11,96  %","-25,29  %",,2013_06_02
8,FTC Feathercoin,FTC,"$545,794.55",$0.08194,6.661.250  FTC,"2,08  %","-4,83  %","-18,23  %",,2013_06_02
9,FRC Freicoin,FRC,"$417,750.51",$0.01981,21.086.442  FRC,"1,00  %","-20,39  %","-39,99  %",,2013_06_02
10,CNC CHNCoin,CNC,"$287,451.99",$0.05625,5.109.858  CNC,"1,00  %","-3,95  %","-26,10  %",,2013_06_02
11,IXC Ixcoin,IXC,"$86,656.55",$0.006848,12.653.618  IXC,"1,00  %","-8,33  %","-33,19  %",,2013_06_02
12,MNC Mincoin,MNC,"$78,887.29",$0.07338,1.075.103  MNC,"1,00  %","-0,24  %","-42,88  %",,2013_06_02
13,BQC BBQCoin,BQC,"$76,751.02",$0.004207,18.244.294  BQC,"0,70  %","-2,35  %","-35,14  %",,2013_06_02
14,BTB BitBar,BTB,"$52,295.84",$15.91,3287  BTB,"0,97  %","-5,23  %","-11,04  %",,2013_06_02
1,BTC Bitcoin,BTC,"$1,126,642,500.00",$100.00,11.266.425  BTC,"-2,04  %","-8,00  %","-16,89  %",,2013_06_09
2,LTC Litecoin,LTC,"$43,858,288.59",$2.3830,18.404.654  LTC,"-1,66  %","-7,44  %","-11,80  %",,2013_06_09
3,NMC Namecoin,NMC,"$3,311,798.26",$0.576,5.749.650  NMC,"-2,41  %","-6,50  %","-17,73  %",,2013_06_09
4,PPC Peercoin,PPC,"$2,267,778.06",$0.118,19.218.458  PPC,"-1,20  %","-1,33  %","-20,40  %",,2013_06_09
5,NVC Novacoin,NVC,"$953,097.98",$3.3050,288.381  NVC,"-1,89  %","-6,48  %","-14,65  %",,2013_06_09
6,FTC Feathercoin,FTC,"$852,774.31",$0.126,6.768.050  FTC,"0,33  %","17,16  %","59,03  %",,2013_06_09
7,TRC Terracoin,TRC,"$556,761.98",$0.195,2.855.190  TRC,"-2,29  %","-3,18  %","-17,77  %",,2013_06_09
8,DVC Devcoin,DVC,"$538,224.93",$0.000116,4.639.869.952  DVC,"-2,06  %","-11,04  %","-21,43  %",,2013_06_09
9,FRC Freicoin,FRC,"$344,283.64",$0.01613,21.345.628  FRC,"-2,06  %","-2,76  %","-19,99  %",,2013_06_09
10,CNC CHNCoin,CNC,"$260,701.49",$0.051,5.111.794  CNC,"-1,28  %","-3,96  %","-8,39  %",,2013_06_09
11,BQC BBQCoin,BQC,"$98,890.42",$0.0053,18.658.570  BQC,"-3,87  %","-3,45  %","27,98  %",,2013_06_09
12,YAC Yacoin,YAC,"$98,315.19",$0.0302,3.255.470  YAC,"-4,95  %",--,--,,2013_06_09
13,DGC Digitalcoin,DGC,"$70,346.91",$0.0392,1.794.564  DGC,"3,10  %",--,--,,2013_06_09
14,WDC WorldCoin,WDC,"$60,438.16",$0.01287,4.696.050  WDC,"-2,27  %",--,--,,2013_06_09
15,BTB BitBar,BTB,"$45,586.21",$13.10,3479  BTB,"-2,07  %","-9,71  %","-16,29  %",,2013_06_09
16,MNC Mincoin,MNC,"$44,972.33",$0.0411,1.094.217  MNC,"-2,06  %","-27,57  %","-42,74  %",,2013_06_09
17,MEM Memecoin,MEM,"$14,865.88",$0.001715,8.668.150  MEM,"-0,13  %",--,--,,2013_06_09
18,AMC AmericanCoin,AMC,"$4,150.01",$0.004178,993.300  AMC,"-2,57  %",--,--,,2013_06_09
19,FRK Franko,FRK,"$2,772.80",$0.15,18.485  FRK,"-2,59  %",--,--,,2013_06_09
20,ELC Elacoin,ELC,$768.13,$0.036,21.337  ELC,"-18,23  %",--,--,,2013_06_09
1,BTC Bitcoin,BTC,"$1,124,306,468.29",$99.51,11.298.425  BTC,"-0,01  %","-0,89  %","-1,32  %",,2013_06_16
2,LTC Litecoin,LTC,"$39,617,176.03",$2.1295,18.603.854  LTC,"0,84  %","1,31  %","-10,92  %",,2013_06_16
3,NMC Namecoin,NMC,"$2,313,381.58",$0.3951,5.855.850  NMC,"1,27  %","-2,70  %","-31,91  %",,2013_06_16
4,PPC Peercoin,PPC,"$2,131,363.14",$0.1105,19.296.016  PPC,"-0,78  %","0,16  %","-5,51  %",,2013_06_16
5,NVC Novacoin,NVC,"$943,738.73",$3.2470,290.648  NVC,"-0,29  %","-1,17  %","-2,72  %",,2013_06_16
6,FTC Feathercoin,FTC,"$817,909.00",$0.1085,7.540.700  FTC,"0,39  %","-5,68  %","-13,05  %",,2013_06_16
7,TRC Terracoin,TRC,"$468,510.18",$0.1602,2.924.330  TRC,"0,08  %","-3,21  %","-18,49  %",,2013_06_16
8,DVC Devcoin,DVC,"$411,176.50",$0.00008774,4.686.519.808  DVC,"1,33  %","-2,48  %","-25,48  %",,2013_06_16
9,FRC Freicoin,FRC,"$386,099.25",$0.01791,21.554.378  FRC,"-0,01  %","1,96  %","11,03  %",,2013_06_16
10,CNC CHNCoin,CNC,"$216,136.99",$0.04179,5.171.458  CNC,"-0,01  %","-1,85  %","-18,66  %",,2013_06_16
11,BQC BBQCoin,BQC,"$83,118.07",$0.004359,19.070.168  BQC,"7,00  %","5,17  %","-19,47  %",,2013_06_16
12,DGC Digitalcoin,DGC,"$71,553.91",$0.02987,2.395.198  DGC,"0,06  %","2,39  %","-20,51  %",,2013_06_16
13,YAC Yacoin,YAC,"$70,774.48",$0.0199,3.556.148  YAC,"-0,65  %","-4,87  %","-39,70  %",,2013_06_16
14,WDC WorldCoin,WDC,"$56,980.47",$0.009473,6.014.815  WDC,"-0,01  %","-3,74  %",--,,2013_06_16
15,MNC Mincoin,MNC,"$37,617.32",$0.03393,1.108.579  MNC,"-0,01  %","-18,87  %","-19,08  %",,2013_06_16
16,BTB BitBar,BTB,"$21,486.74",$5.9706,3599  BTB,"-11,12  %","-8,50  %","-54,80  %",,2013_06_16
17,GLC GoldCoin,GLC,"$19,834.44",$0.001462,13.566.450  GLC,"-0,67  %","23,24  %",--,,2013_06_16
18,MEM Memecoin,MEM,"$8,474.66",$0.0008163,10.381.550  MEM,"-0,33  %","15,87  %","-49,94  %",,2013_06_16
19,LKY Luckycoin,LKY,"$7,949.17",$0.002512,3.164.008  LKY,"-0,05  %","-3,59  %",--,,2013_06_16
20,FRK Franko,FRK,"$4,284.35",$0.1939,22.091  FRK,"16,59  %","42,68  %","29,36  %",,2013_06_16
21,AMC AmericanCoin,AMC,"$2,148.21",$0.002115,1.015.900 AMC,"-0,01%","-0,54%","-50,09%",,2013_06_16
22,JKC Junkcoin,JKC,"$1,958.27",$0.0003806,5.145.900 JKC,"1,00%","7,89%",--,,2013_06_16
23,NBL Nibble,NBL,"$1,867.33",$0.002984,625.804 NBL,"0,22%","18,64%",--,,2013_06_16
24,ELC Elacoin,ELC,"$1,392.67",$0.06468,21.530 ELC,"-0,01%","0,58%","19,87%",,2013_06_16
1,BTC Bitcoin,BTC,"$1,218,626,731.94",$107.60,11.325.525  BTC,"-0,27  %","-0,60  %","7,69  %",,2013_06_23
2,LTC Litecoin,LTC,"$58,663,951.67",$3.1172,18.819.604  LTC,"-0,59  %","2,78  %","47,72  %",,2013_06_23
3,NMC Namecoin,NMC,"$3,329,217.96",$0.5627,5.916.000  NMC,"-1,19  %","0,81  %","39,70  %",,2013_06_23
4,PPC Peercoin,PPC,"$2,358,403.70",$0.1216,19.396.678  PPC,"-0,50  %","-2,03  %","10,35  %",,2013_06_23
5,NVC Novacoin,NVC,"$1,042,586.72",$3.4970,298.137  NVC,"-0,55  %","0,07  %","7,07  %",,2013_06_23
6,FTC Feathercoin,FTC,"$799,217.02",$0.09899,8.073.550  FTC,"-0,11  %","16,47  %","-8,82  %",,2013_06_23
7,TRC Terracoin,TRC,"$416,782.31",$0.1399,2.979.570  TRC,"0,50  %","2,07  %","-13,00  %",,2013_06_23
8,DVC Devcoin,DVC,"$407,340.96",$0.00008608,4.732.120.064  DVC,"-0,27  %","-4,26  %","-4,30  %",,2013_06_23
9,FRC Freicoin,FRC,"$274,484.38",$0.01259,21.801.296  FRC,"-0,33  %","-24,96  %","-29,85  %",,2013_06_23
10,CNC CHNCoin,CNC,"$135,261.23",$0.02582,5.237.810  CNC,"4,10  %","-25,48  %","-38,17  %",,2013_06_23
11,DGC Digitalcoin,DGC,"$84,169.38",$0.02819,2.985.547  DGC,"0,34  %","-2,42  %","-4,86  %",,2013_06_23
12,YAC Yacoin,YAC,"$82,023.91",$0.02163,3.792.557  YAC,"-0,32  %","-0,96  %","5,92  %",,2013_06_23
13,BQC BBQCoin,BQC,"$79,853.09",$0.0041,19.478.450  BQC,"-0,23  %","-3,86  %","-2,58  %",,2013_06_23
14,IXC Ixcoin,IXC,"$68,433.51",$0.00495,13.826.066  IXC,"-0,20  %",--,--,,2013_06_23
15,WDC WorldCoin,WDC,"$67,830.58",$0.009766,6.945.743  WDC,"-0,23  %","-0,33  %","6,40  %",,2013_06_23
16,BTB BitBar,BTB,"$24,643.61",$6.5636,3755  BTB,"-0,23  %","-0,60  %","3,53  %",,2013_06_23
17,MNC Mincoin,MNC,"$24,316.38",$0.02153,1.129.661  MNC,"-0,33  %","-0,59  %","-36,82  %",,2013_06_23
18,GLC GoldCoin,GLC,"$18,141.18",$0.001189,15.263.950  GLC,"-0,41  %","13,07  %","-20,14  %",,2013_06_23
19,MEM Memecoin,MEM,"$13,338.13",$0.00109,12.236.950  MEM,"-0,02  %","-4,68  %","29,75  %",,2013_06_23
20,BTE Bytecoin,BTE,"$11,370.84",$0.01238,918.850  BTE,"-0,23  %","-18,72  %",--,,2013_06_23
21,LKY Luckycoin,LKY,"$11,294.04",$0.002799,4.035.492 LKY,"-0,23%","-3,76%","9,61%",,2013_06_23
22,FRK Franko,FRK,"$4,335.78",$0.1668,25.997 FRK,"-0,23%","-0,63%","10,67%",,2013_06_23
23,NBL Nibble,NBL,"$3,232.05",$0.004305,750.754 NBL,"-0,23%","-0,65%","44,03%",,2013_06_23
24,AMC AmericanCoin,AMC,"$2,421.87",$0.002282,1.061.200 AMC,"-0,23%","-9,95%","7,50%",,2013_06_23
25,JKC Junkcoin,JKC,"$2,081.27",$0.0003797,5.481.100 JKC,"-0,40%","3,21%","1,60%",,2013_06_23
26,ELC Elacoin,ELC,"$1,878.35",$0.08673,21.659 ELC,"-0,11%","0,11%","33,54%",,2013_06_23
1,BTC Bitcoin,BTC,"$1,096,957,926.58",$96.61,11.354.025  BTC,"-0,53  %","1,83  %","-9,91  %",,2013_06_30
2,LTC Litecoin,LTC,"$56,721,517.99",$2.9805,19.030.604  LTC,"0,08  %","7,03  %","-3,08  %",,2013_06_30
3,NMC Namecoin,NMC,"$2,995,222.23",$0.5014,5.973.400  NMC,"-1,65  %","-1,23  %","-11,33  %",,2013_06_30
4,PPC Peercoin,PPC,"$2,367,684.20",$0.1217,19.449.710  PPC,"0,28  %","2,64  %","-1,36  %",,2013_06_30
5,NVC Novacoin,NVC,"$931,437.38",$3.0926,301.181  NVC,"-0,51  %","0,75  %","-11,35  %",,2013_06_30
6,FTC Feathercoin,FTC,"$694,353.94",$0.07826,8.872.700  FTC,"0,73  %","1,97  %","-19,90  %",,2013_06_30
7,TRC Terracoin,TRC,"$395,910.40",$0.1304,3.035.450  TRC,"-0,27  %","3,75  %","-5,95  %",,2013_06_30
8,DVC Devcoin,DVC,"$350,826.66",$0.00007343,4.777.920.000  DVC,"-0,51  %","-1,52  %","-13,67  %",,2013_06_30
9,FRC Freicoin,FRC,"$274,804.66",$0.01256,21.879.664  FRC,"-0,51  %","-5,45  %","-0,12  %",,2013_06_30
10,DGC Digitalcoin,DGC,"$93,810.47",$0.02619,3.582.563  DGC,"-0,33  %","-1,69  %","-6,43  %",,2013_06_30
11,YAC Yacoin,YAC,"$92,500.45",$0.02338,3.956.292  YAC,"-3,18  %","3,58  %","7,18  %",,2013_06_30
12,BQC BBQCoin,BQC,"$76,284.42",$0.003836,19.888.648  BQC,"-1,26  %","-7,03  %","0,84  %",,2013_06_30
13,WDC WorldCoin,WDC,"$55,160.81",$0.007942,6.945.743  WDC,"-0,51  %","0,81  %","-19,16  %",,2013_06_30
14,IXC Ixcoin,IXC,"$51,205.23",$0.003671,13.947.314  IXC,"-0,51  %","4,88  %","-24,12  %",,2013_06_30
15,CNC CHNCoin,CNC,"$45,596.16",$0.008695,5.243.794  CNC,"-10,46  %","0,25  %","-64,17  %",,2013_06_30
16,MNC Mincoin,MNC,"$42,677.67",$0.0372,1.147.361  MNC,"-0,51  %","14,29  %","73,38  %",,2013_06_30
17,BTB BitBar,BTB,"$23,567.27",$5.9128,3986  BTB,"-0,51  %","3,88  %","-9,61  %",,2013_06_30
18,LKY Luckycoin,LKY,"$12,095.08",$0.002618,4.619.548  LKY,"-0,51  %","2,12  %","-6,13  %",,2013_06_30
19,MEM Memecoin,MEM,"$10,668.84",$0.0007604,14.031.450  MEM,"-0,56  %","-3,09  %","-29,92  %",,2013_06_30
20,GLC GoldCoin,GLC,"$6,496.10",$0.0003879,16.745.950  GLC,"-1,39  %","-19,95  %","-66,95  %",,2013_06_30
21,BTE Bytecoin,BTE,"$6,390.56",$0.00695,919.450 BTE,"-0,52%","1,28%","-42,22%",,2013_06_30
22,FRK Franko,FRK,"$2,891.64",$0.09715,29.766 FRK,"-0,51%","-18,73%","-41,56%",,2013_06_30
23,NBL Nibble,NBL,"$2,709.81",$0.003584,756.004 NBL,"-0,89%","-0,68%","-14,91%",,2013_06_30
24,AMC AmericanCoin,AMC,"$2,106.27",$0.001933,1.089.500 AMC,"-0,51%","0,86%","-16,72%",,2013_06_30
25,ELC Elacoin,ELC,"$1,750.54",$0.08024,21.816 ELC,"-0,51%","1,84%","-7,09%",,2013_06_30
26,JKC Junkcoin,JKC,$105.71,$0.00001912,5.527.550 JKC,"3,95%","-25,14%","-94,94%",,2013_06_30
1,BTC Bitcoin,BTC,"$848,838,935.56",$74.56,11.384.475  BTC,"1,27  %","7,20  %","-23,21  %",,2013_07_07
2,LTC Litecoin,LTC,"$51,099,940.90",$2.6566,19.235.004  LTC,"1,16  %","6,87  %","-11,42  %",,2013_07_07
3,NMC Namecoin,NMC,"$2,598,102.11",$0.4369,5.946.293  NMC,"-0,42  %","-3,99  %","-13,82  %",,2013_07_07
4,PPC Peercoin,PPC,"$2,582,887.38",$0.132,19.571.310  PPC,"0,99  %","-2,24  %","7,65  %",,2013_07_07
5,NVC Novacoin,NVC,"$867,500.25",$2.8378,305.695  NVC,"0,30  %","1,72  %","-8,67  %",,2013_07_07
6,FTC Feathercoin,FTC,"$711,870.60",$0.07531,9.452.950  FTC,"0,12  %","3,21  %","-2,24  %",,2013_07_07
7,TRC Terracoin,TRC,"$519,200.27",$0.167,3.108.670  TRC,"-0,65  %","-8,89  %","28,08  %",,2013_07_07
8,DVC Devcoin,DVC,"$276,948.24",$0.00005741,4.823.869.952  DVC,"1,30  %","5,72  %","-22,65  %",,2013_07_07
9,FRC Freicoin,FRC,"$223,994.42",$0.01007,22.244.892  FRC,"-3,68  %","24,75  %","-20,23  %",,2013_07_07
10,YAC Yacoin,YAC,"$108,880.76",$0.02572,4.232.722  YAC,"1,30  %","14,64  %","7,09  %",,2013_07_07
11,DGC Digitalcoin,DGC,"$90,011.67",$0.02155,4.177.233  DGC,"7,08  %","17,77  %","-19,13  %",,2013_07_07
12,CNC CHNCoin,CNC,"$70,529.30",$0.01342,5.255.146  CNC,"-2,34  %","-9,87  %","61,55  %",,2013_07_07
13,BQC BBQCoin,BQC,"$65,506.03",$0.003229,20.289.954  BQC,"1,27  %","3,12  %","-17,46  %",,2013_07_07
14,WDC WorldCoin,WDC,"$56,083.13",$0.005711,9.819.541  WDC,"1,27  %","6,35  %","-28,45  %",,2013_07_07
15,IXC Ixcoin,IXC,"$46,861.08",$0.003335,14.050.802  IXC,"1,27  %","40,63  %","-9,50  %",,2013_07_07
16,MEC Megacoin,MEC,"$38,199.20",$0.00314,12.166.250  MEC,"2,60  %",--,--,,2013_07_07
17,MNC Mincoin,MNC,"$34,857.44",$0.02992,1.165.200  MNC,"1,30  %","25,61  %","-20,04  %",,2013_07_07
18,PXC Phoenixcoin,PXC,"$34,584.63",$0.01186,2.917.250  PXC,"0,12  %","10,99  %",--,,2013_07_07
19,BTG Bitgem,BTG,"$25,588.54",$1.4599,17.528  BTG,"1,28  %","30,68  %",--,,2013_07_07
20,BTB BitBar,BTB,"$15,340.53",$3.7281,4115  BTB,"1,27  %","-5,94  %","-36,58  %",,2013_07_07
21,LKY Luckycoin,LKY,"$12,434.92",$0.00239,5.203.584 LKY,"1,29%",--,"-9,03%",,2013_07_07
22,CRC CraftCoin,CRC,"$11,977.44",$0.1364,87.781 CRC,"-2,03%",--,--,,2013_07_07
23,FST Fastcoin,FST,"$11,082.55",$0.001215,9.118.848 FST,"3,70%","9,20%",--,,2013_07_07
24,GLC GoldCoin,GLC,"$8,222.86",$0.0004528,18.157.950 GLC,"3,89%","7,38%","14,83%",,2013_07_07
25,BTE Bytecoin,BTE,"$7,767.20",$0.008446,919.600 BTE,"1,27%","17,07%","18,70%",,2013_07_07
26,KGC Krugercoin,KGC,"$4,849.72",$0.001407,3.446.930 KGC,"1,27%",--,--,,2013_07_07
27,ALF AlphaCoin,ALF,"$4,719.67",$0.0007478,6.310.999 ALF,"3,97%",--,--,,2013_07_07
28,ARG Argentum,ARG,"$4,478.05",$0.01305,343.193 ARG,"1,27%","19,49%",--,,2013_07_07
29,MEM Memecoin,MEM,"$3,078.62",$0.0001942,15.851.850 MEM,"4,03%",--,"-74,84%",,2013_07_07
30,CAP Bottlecaps,CAP,"$3,017.36",$0.01491,202.331 CAP,"1,28%",--,--,,2013_07_07
31,SBC StableCoin,SBC,"$2,291.85",$0.0008202,2.794.355 SBC,"-3,13%",--,--,,2013_07_07
32,HYC Hypercoin,HYC,"$1,715.29",$0.003355,511.225 HYC,"1,27%","172,21%",--,,2013_07_07
33,ELC Elacoin,ELC,"$1,487.58",$0.06703,22.193 ELC,"1,27%","10,54%","-17,04%",,2013_07_07
34,NBL Nibble,NBL,"$1,360.21",$0.00179,759.804 NBL,"1,27%",--,"-50,28%",,2013_07_07
35,FRK Franko,FRK,"$1,266.89",$0.0379,33.427 FRK,"1,27%","2,02%","-61,99%",,2013_07_07
36,NRB Noirbits,NRB,"$1,191.72",$0.002982,399.580 NRB,"1,27%","21,99%",--,,2013_07_07
37,AMC AmericanCoin,AMC,"$1,184.81",$0.001074,1.103.500 AMC,"1,27%","28,46%","-44,74%",,2013_07_07
38,DBL Doubloons,DBL,$883.97,$0.002948,299.904 DBL,"3,56%",--,--,,2013_07_07
39,EZC EZCoin,EZC,$592.16,$0.0001377,4.301.793 EZC,"3,58%",--,--,,2013_07_07
40,JKC Junkcoin,JKC,$255.21,$0.00004383,5.823.050 JKC,"3,56%","7,54%","130,24%",,2013_07_07
