0,1,2,3,4,5,6,7,8,9,10,date
1,BTC Bitcoin,BTC,"$1,278,296,008,665.18","$64,926.64",19.688.312  BTC,"$20,506,644,853.02","-0,20  %","-0,10  %","-1,24  %",,2024_04_21
2,ETH Ethereum,ETH,"$377,899,123,113.35","$3,147.29",120.071.333  ETH  *,"$9,394,387,894.31","-0,30  %","-0,33  %","-0,31  %",,2024_04_21
3,USDT Tether USDt,USDT,"$109,857,607,038.34",$1.0002,109.834.251.115  USDT  *,"$40,914,266,459.98",<0.01  %,"-0,02  %","-0,09  %",,2024_04_21
4,BNB BNB,BNB,"$86,672,374,451.12",$579.62,149.533.112  BNB  *,"$782,061,075.60","-0,08  %","1,52  %","2,19  %",,2024_04_21
5,SOL Solana,SOL,"$66,417,713,293.18",$148.61,446.928.339  SOL  *,"$2,211,663,290.99","-0,46  %","-1,67  %","-1,77  %",,2024_04_21
6,USDC USDC,USDC,"$33,943,490,879.04",$1.0000,33.943.268.732  USDC  *,"$4,622,993,535.93",<0.01  %,"-0,01  %","-0,03  %",,2024_04_21
7,XRP XRP,XRP,"$28,925,167,432.60",$0.5247,55.129.144.019  XRP  *,"$896,875,432.55","-0,27  %","-0,87  %","4,05  %",,2024_04_21
8,DOGE Dogecoin,DOGE,"$22,786,527,781.65",$0.1583,143.982.026.384  DOGE,"$1,293,159,345.73","-0,42  %","-2,80  %","-2,48  %",,2024_04_21
9,TON Toncoin,TON,"$21,327,224,325.21",$6.1440,3.471.227.561  TON  *,"$208,390,924.15","0,03  %","-1,18  %","-9,15  %",,2024_04_21
10,ADA Cardano,ADA,"$17,787,098,898.00",$0.4993,35.624.617.237  ADA  *,"$354,417,376.98","-0,21  %","-1,31  %","6,48  %",,2024_04_21
11,SHIB Shiba Inu,SHIB,"$15,492,622,897.09",$0.00002629,589.289.410.812.691  SHIB  *,"$1,219,703,165.50","-0,51  %","0,02  %","15,66  %",,2024_04_21
12,AVAX Avalanche,AVAX,"$14,030,181,656.37",$37.12,377.998.274  AVAX  *,"$351,138,121.95","-0,16  %","-3,09  %","-0,53  %",,2024_04_21
13,DOT Polkadot,DOT,"$10,246,380,636.52",$7.1350,1.436.067.048  DOT  *,"$149,501,379.30","-0,13  %","-1,37  %","3,87  %",,2024_04_21
14,BCH Bitcoin Cash,BCH,"$9,897,170,531.55",$502.52,19.695.041  BCH,"$333,859,362.19","-0,48  %","-2,53  %","-4,81  %",,2024_04_21
15,TRX TRON,TRX,"$9,753,379,839.56",$0.1113,87.594.217.124  TRX  *,"$202,407,396.44","-0,07  %","0,20  %","-1,11  %",,2024_04_21
16,LINK Chainlink,LINK,"$8,853,709,387.69",$15.08,587.099.970  LINK  *,"$253,842,937.35","1,14  %","0,77  %","6,80  %",,2024_04_21
17,MATIC Polygon,MATIC,"$7,058,863,762.23",$0.7134,9.894.739.452  MATIC  *,"$232,353,520.54","-0,28  %","-3,35  %","0,17  %",,2024_04_21
18,ICP Internet Computer,ICP,"$6,991,010,641.34",$15.10,462.994.963  ICP  *,"$158,894,963.52","-0,82  %","-2,74  %","17,10  %",,2024_04_21
19,NEAR NEAR Protocol,NEAR,"$6,866,541,114.61",$6.4500,1.064.579.556  NEAR  *,"$362,734,595.83","0,69  %","3,62  %","12,83  %",,2024_04_21
20,LTC Litecoin,LTC,"$6,265,981,029.68",$84.17,74.448.175  LTC,"$297,434,668.81","-0,38  %","-1,09  %","5,32  %",,2024_04_21
21,DAI Dai,DAI,"$5,348,789,838.39",$1.0002,5.347.888.596 DAI *,"$343,513,150.67","0,00%","0,00%","-0,01%",,2024_04_21
22,LEO UNUS SED LEO,LEO,"$5,338,586,735.15",$5.7617,926.572.048 LEO *,"$1,076,826.94","0,01%","-0,02%","-4,01%",,2024_04_21
23,UNI Uniswap,UNI,"$4,624,605,576.99",$7.7239,598.736.140 UNI *,"$93,509,205.13","-0,24%","-1,91%","2,71%",,2024_04_21
24,APT Aptos,APT,"$4,256,026,309.35",$9.9973,425.717.726 APT *,"$118,014,807.40","0,21%","-2,39%","4,60%",,2024_04_21
25,STX Stacks,STX,"$4,059,598,017.34",$2.7926,1.453.687.640 STX,"$138,035,352.01","0,15%","2,73%","1,87%",,2024_04_21
26,ETC Ethereum Classic,ETC,"$4,026,136,926.70",$27.45,146.670.205 ETC,"$156,320,138.62","-0,50%","-1,59%","1,50%",,2024_04_21
27,MNT Mantle,MNT,"$3,884,640,613.94",$1.1900,3.264.441.708 MNT *,"$43,135,467.00","-0,60%","-0,24%","3,07%",,2024_04_21
28,FDUSD First Digital USD,FDUSD,"$3,588,931,613.88",$1.0000,3.588.766.587 FDUSD *,"$5,375,919,113.95",<0.01%,"0,00%","-0,13%",,2024_04_21
29,FIL Filecoin,FIL,"$3,510,315,688.75",$6.4764,542.016.524 FIL,"$181,448,114.80","-0,29%","-2,65%","5,07%",,2024_04_21
