name,symbol,date,rank,market_cap,price,circulating_supply,%1h,%7h,%24h,class,ismultiplatform
Bitcoin,BTC,2013-04-28,-1.3785017697814543,6.429476828815729,6.520015859598869,-0.14298300169047395,0.0635740127732405,0.0635740127732405,0.0635740127732405,4.0,1.0
Litecoin,LTC,2013-04-28,-1.3017571437854125,0.13422244165290145,0.0010986560264027,-0.1421832026298671,0.090878546396456,0.090878546396456,0.090878546396456,4.0,0.0
Peercoin,PPC,2013-04-28,-1.2250125177893707,-0.16580463398131692,-0.19778460175598836,-0.14197338780862048,-0.20435172340456148,-0.20435172340456148,-0.20435172340456148,4.0,1.0
Namecoin,NMC,2013-04-28,-1.1482678917933289,-0.17138867419364895,-0.16160621161899116,-0.14373053182028517,-0.05417678847687629,-0.05417678847687629,-0.05417678847687629,4.0,0.0
Terracoin,TRC,2013-04-28,-1.071523265797287,-0.19139244772979208,-0.18471279269303,-0.1441377113743289,0.058454412718887586,0.058454412718887586,0.058454412718887586,4.0,1.0
Devcoin,DVC,2013-04-28,-0.9947786398012453,-0.191744234088817,-0.21717012973562724,0.43063833285684705,0.032856412447123076,0.032856412447123076,0.032856412447123076,4.0,0.0
Novacoin,NVC,2013-04-28,-0.9180340138052034,-0.19290994233231712,-0.004021637846184638,-0.14440767760985734,0.3195540154908857,0.3195540154908857,0.3195540154908857,4.0,0.0
Bitcoin,BTC,2013-05-05,-1.3785017697814543,5.539576917328682,5.601374900105253,-0.14297948201909844,0.027736812392770167,0.027736812392770167,0.027736812392770167,4.0,1.0
Litecoin,LTC,2013-05-05,-1.3017571437854125,0.07928626071569826,-0.036927055821488766,-0.14215887455595988,-0.028578788205111772,-0.028578788205111772,-0.028578788205111772,4.0,0.0
Namecoin,NMC,2013-05-05,-1.2250125177893707,-0.17007726473034832,-0.1594074971913507,-0.14372394025611884,-0.24872159054228662,-0.24872159054228662,-0.24872159054228662,4.0,0.0
Peercoin,PPC,2013-05-05,-1.1482678917933289,-0.17262441607054377,-0.20194107560550045,-0.1419637898063565,0.007258412175358553,0.007258412175358553,0.007258412175358553,4.0,1.0
Feathercoin,FTC,2013-05-05,-1.071523265797287,-0.18910246074377215,-0.20147422528182338,-0.14359496685375997,-2.2317133449283113,-2.2317133449283113,-2.2317133449283113,4.0,0.0
Freicoin,FRC,2013-05-05,-0.9947786398012453,-0.1908388514731264,-0.21311335603964793,-0.1418021064417827,-2.5866722820301127,-2.5866722820301127,-2.5866722820301127,4.0,0.0
Terracoin,TRC,2013-05-05,-0.9180340138052034,-0.19199768143203047,-0.18867349060035493,-0.14412670392311971,0.14719414699433792,0.14719414699433792,0.14719414699433792,4.0,1.0
