id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
render-token,rndr,Render,8.485419234954215,3273764375,35.0,4530517208.0,198735104.0,9.3,8.32,-0.574378921140642,-6.33986,-223390336.28000307,-6.38777,384472335.292815,532065943.572815,532065943.572815
bittensor,tao,Bittensor,453.8016757628792,3016900766,41.0,9530086048.0,45206711.0,505.91,441.57,-38.53545567233505,-7.82705,-261617133.74242496,-7.97974,6647885.0,21000000.0,21000000.0
the-graph,grt,The Graph,0.26737680206589803,2541911883,48.0,2891840792.0,101308412.0,0.296838,0.262715,-0.025985976417641003,-8.85797,-261802062.01448965,-9.33769,9482595460.71057,10788004319.0,10788004319.0
fetch-ai,fet,Fetch.ai,2.275534054968835,2373960209,51.0,2623160453.0,360343918.0,2.62,2.23,-0.20423667556948702,-8.23611,-209606604.05111122,-8.11307,1043462805.0,1152997575.0,1152997575.0
singularitynet,agix,SingularityNET,0.939080598655542,1207353009,83.0,1320076013.0,182462691.0,1.074,0.918655,-0.078396620031685,-7.705,-107137260.85262656,-8.15048,1282094972.15337,1401796166.00502,2000000000.0
akash-network,akt,Akash Network,4.983147434123741,1167045635,86.0,1169676543.0,24408671.0,5.39,4.8,-0.14598941884135602,-2.84628,-34029889.93857455,-2.8332800000000002,234090486.767749,234618204.42756,388539008.0
aioz-network,aioz,AIOZ Network,0.7024849551370881,761758747,119.0,764845107.0,6625164.0,0.7589300000000001,0.6857249999999999,-0.050494801346672,-6.7059999999999995,-53932915.13704121,-6.61192,1084558448.74651,1088952671.8492,
ocean-protocol,ocean,Ocean Protocol,0.9587815316334751,584795621,148.0,1357007674.0,58802225.0,1.084,0.939166,-0.07773642218377501,-7.49977,-48185819.11088896,-7.61252,607158417.9615499,1408900141.1674242,1410000000.0
arkham,arkm,Arkham,2.047516329450116,433015685,186.0,2048323960.0,99020636.0,2.26,2.01,-0.129218584037382,-5.93635,-26891390.277837276,-5.8471400000000004,211400000.0,1000000000.0,1000000000.0
origintrail,trac,OriginTrail,0.9529809944624411,386911438,200.0,477126318.0,2370617.0,1.004,0.952634,-0.021870114418397,-2.24343,-8781998.414155424,-2.21939,405460171.582,500000000.0,500000000.0
golem,glm,Golem,0.38501509971423103,384825472,201.0,384825472.0,9140603.0,0.41829299999999997,0.378166,-0.028490423191914003,-6.88997,-28139604.685706735,-6.81404,1000000000.0,1000000000.0,
nosana,nos,Nosana,3.3743294526867,286582889,235.0,343624567.0,2284523.0,4.02,3.38,-0.638723268096967,-15.91614,-49354979.384782135,-14.6917,83400000.0,100000000.0,
netmind-token,nmt,NetMind Token,7.330906177185598,256702966,249.0,1082767646.0,3073335.0,8.22,7.32,-0.667757501120113,-8.34836,-923005660.2562342,-78.24014,34986206.3078843,147571073.2,147571073.2
rss3,rss3,RSS3,0.35961078826340703,243335122,262.0,360540989.0,5883797.0,0.420298,0.35567899999999997,-0.045722160208414006,-11.28015,-31069381.20648092,-11.32247,674916665.888838,1000000000.0,
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,0.26218684773475703,230042144,274.0,230042144.0,930599.0,0.280042,0.256156,-0.017854767179247,-6.37575,-20003666.64848104,-8.0,891250000.0,891250000.0,1000000000.0
delysium,agi,Delysium,0.265160918577643,202246519,301.0,795726320.0,8379067.0,0.30430599999999997,0.262275,-0.030663380015521,-10.3654,-30570667.914660275,-13.13076,762497787.117842,3000000000.0,3000000000.0
iexec-rlc,rlc,iExec RLC,2.785161333506122,201597074,303.0,242308437.0,11518911.0,3.25,2.74,-0.39498125893148806,-12.42024,-28715662.262731254,-12.46812,72382548.06525737,86999784.9868455,86999784.9868455
paal-ai,paal,PAAL AI,0.303121153922883,198746633,304.0,305319953.0,9002947.0,0.330988,0.289601,-0.023697694685222002,-7.2510200000000005,-22542472.957241774,-10.18689,650945444.22553,1000000000.0,1000000000.0
marlin,pond,Marlin,0.023103898961638003,186849917,314.0,186849917.0,6040169.0,0.02663003,0.02259204,-0.003500893859898,-13.15888,-28308066.98760274,-13.15687,8087375977.0,8087375977.89177,10000000000.0
oraichain-token,orai,Oraichain,11.083814579447752,176120041,323.0,196187074.0,5561776.0,11.58,11.01,-0.301201937273722,-2.6456,-4430217.726375669,-2.45373,15883663.0,17693440.0,19779272.0
tokenfi,token,TokenFi,0.11939999369706701,170432155,330.0,1204723289.0,23921795.0,0.130526,0.11812,-0.005641715955825,-4.51187,-8612006.666537464,-4.80999,1414699596.03475,10000000000.0,10000000000.0
everipedia,iq,IQ,0.009096227749712001,163875974,343.0,163875974.0,4616260.0,0.01006113,0.00903264,-0.000892522793248,-8.93528,-16250664.69530034,-9.0218,18032726355.929,18032726355.929,21000000000.0
numeraire,nmr,Numeraire,25.927238083398898,163370615,344.0,278880123.0,6820246.0,29.06,25.52,-2.352134996438664,-8.31749,-15195268.878651202,-8.50961,6279506.26154725,10719366.3479158,11000000.0
virtual-protocol,virtual,Virtual Protocol,0.16171844135964802,161507717,348.0,161507717.0,2491615.0,0.189694,0.161121,-0.022331648865502002,-12.13346,-26367917.4466967,-14.03477,1000000000.0,1000000000.0,1000000000.0
nodeai,gpu,NodeAI,1.430655010314943,138607672,387.0,142198417.0,1020991.0,1.6,1.3599999999999999,-0.12187287767921601,-7.84996,-12502523.629725128,-8.27378,97153156.22085401,99669988.5172239,100000000.0
humans-ai,heart,Humans.ai,0.024083614901485,134314320,392.0,187852196.0,421719.0,0.02595048,0.02395083,-0.000845840615993,-3.39294,-4580205.326461434,-3.29761,5577000000.0,7800000000.0,7800000000.0
zignaly,zig,Zignaly,0.09129019969604,130297385,399.0,180105964.0,5155059.0,0.102092,0.09114799999999999,-0.005722976122264,-5.89917,-7776012.870261461,-5.6318,1425699651.2396517,1970699651.2396517,1970699651.2396517
autonolas,olas,Autonolas,2.9695776813570243,129793218,400.0,1594809607.0,4296070.0,3.32,2.81,-0.349925424184371,-10.5415,-15365240.422810271,-10.58515,43721076.606606364,537214457.924841,
sleepless-ai,ai,Sleepless AI,0.991633420321904,129013843,404.0,992414174.0,29091398.0,1.11,0.963364,-0.09909947523598801,-9.08559,-14072225.560536727,-9.8348,130000000.0,1000000000.0,
covalent,cqt,Covalent,0.188913777686427,119741943,421.0,188852084.0,1284106.0,0.202119,0.188184,-0.01057209216338,-5.29967,-6722320.34584628,-5.31559,634051477.391746,1000000000.0,1000000000.0
cudos,cudos,Cudos,0.016670688311100003,116617875,426.0,153126908.0,581265.0,0.017464010000000002,0.0163847,-0.0007933254867850001,-4.54263,-6063971.316048101,-4.94284,7001563262.0,9193511131.0,10000000000.0
chaingpt,cgpt,ChainGPT,0.266195443290113,114929851,430.0,265558906.0,7442283.0,0.285202,0.264273,-0.0159010463074,-5.63674,-7011367.726356089,-5.74979,432090233.0,998395184.0,1000000000.0
solidus-aitech,aitech,Solidus Ai Tech,0.20304346413034602,112113444,445.0,403822500.0,6243985.0,0.22683099999999998,0.20027499999999998,-0.023146597910930003,-10.23325,-14135797.490848258,-11.19674,553248775.0,1992752130.0,2000000000.0
forta,fort,Forta,0.32316987703167604,110217816,452.0,323184714.0,19723037.0,0.381953,0.289479,0.029965560000000002,10.22003,9816004.0,9.776720000000001,341036599.58,1000000000.0,1000000000.0
phoenix-global,phb,Phoenix,1.7710068227877351,87366704,512.0,87366704.0,9933654.0,1.98,1.73,-0.18464930129006102,-9.44181,-9002014.478665635,-9.34122,49160340.7534484,49160340.7534484,64000000.0
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,0.020631178344614,71354941,572.0,203562238.0,1741490.0,0.02119424,0.02058573,-0.000231776242084,-1.11095,-837262.7059435844,-1.15977,3460597224.669673,9872433564.81426,9872433564.81426
agoras-currency-of-tau,agrs,Agoras: Currency of Tau,3.8673961089435123,69202954,584.0,161473559.0,244935.0,4.09,3.8,-0.097059175752517,-2.44823,-2204126.58074069,-3.08671,18000000.0,42000000.0,
limewire-token,lmwr,LimeWire,1.2007713096339,68235644,587.0,928250578.0,4806783.0,1.28,1.16,-0.08067148607305101,-6.29536,-4613715.546147302,-6.33323,56826510.61402555,773045267.0,1000000000.0
vaiot,vai,Vaiot,0.21059237085433702,67977924,590.0,84367104.0,1082219.0,0.216633,0.202768,-0.005445717500039001,-2.52072,-1505363.5878205895,-2.16651,322295875.0,400000000.0,400000000.0
