id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
immutable-x,imx,Immutable,2.177597111731479,3178446969.0,38.0,4363555324.0,49734855.0,2.43,2.18,-0.16615635284099,-7.08933,-241039062.24298668,-7.04899,1456815249.3898141,2000000000.0,2000000000.0
floki,floki,FLOKI,0.000183620493478,1791909233.0,61.0,1845186433.0,294261944.0,0.00020426,0.00018042,-1.3253937617461001e-05,-6.73218,-116915063.25587153,-6.12498,9711263864756.0,10000000000000.0,10000000000000.0
gala,gala,GALA,0.046155642669070004,1615799202.0,67.0,1615799622.0,177182244.0,0.052059,0.0463531,-0.004869041792035,-9.54252,-165560906.09139705,-9.29407,34872639113.2689,34872648188.0458,50000000000.0
beam-2,beam,Beam,0.026762352207443003,1424825026.0,72.0,1678502903.0,41599914.0,0.0304662,0.02678162,-0.003148973174321,-10.5277,-164814534.64282703,-10.36804,52998143387.8887,62434008330.7567,62434008330.7567
axie-infinity,axs,Axie Infinity,7.4218916007097935,1070006054.0,89.0,2011011114.0,103018013.0,8.38,7.4,-0.31238478804274805,-4.03897,-39676660.44075334,-3.5755,143659889.606527,270000000.0,270000000.0
the-sandbox,sand,The Sandbox,0.459108359893923,1036155438.0,94.0,1376809300.0,110938684.0,0.5057969999999999,0.458595,-0.029281115723720004,-5.99544,-62923055.26290858,-5.7250700000000005,2257731926.2233224,3000000000.0,3000000000.0
ronin,ron,Ronin,3.206522744769539,1012964350.0,95.0,3206853788.0,20234544.0,3.49,3.2,-0.18000711053617602,-5.31539,-56514221.949047565,-5.28428,315874815.809958,1000000000.0,1000000000.0
apecoin,ape,ApeCoin,1.222805078280256,772050683.0,117.0,1229691586.0,68616530.0,1.3599999999999999,1.23,-0.097121561781719,-7.3581,-57377594.85284674,-6.91773,627840909.0,1000000000.0,1000000000.0
echelon-prime,prime,Echelon Prime,18.218525305702045,684786762.0,127.0,2028364913.0,15958268.0,20.44,17.64,-0.5393817483429401,-2.87549,-19032914.746853948,-2.70423,37511700.8947,111111111.0,111111111.0
illuvium,ilv,Illuvium,97.77019941064661,626615697.0,135.0,941266230.0,10709283.0,106.72,97.29,-6.970736077472694,-6.65522,-43865714.732464194,-6.54242,6393807.0933787,9604411.00983229,
skale,skl,SKALE,0.094258246594264,488434771.0,166.0,499380315.0,33827909.0,0.10371799999999999,0.09397599999999999,-0.006640847113356001,-6.58167,-34587185.218476,-6.61295,5179144337.0,5295205996.94293,7000000000.0
enjincoin,enj,Enjin Coin,0.32972598428105704,477475808.0,169.0,596355038.0,27220134.0,0.35890099999999997,0.327687,-0.019860722132999,-5.6812000000000005,-26375151.302294493,-5.23471,1441461535.05588,1800348486.83708,
stepn,gmt,GMT,0.24047477811800702,465655543.0,172.0,1293211270.0,54642995.0,0.267988,0.241024,-0.020102413400683,-7.71457,-37851546.7628451,-7.51758,1933238284.70298,5368959044.48673,6000000000.0
pixels,pixel,Pixels,0.43297490296977004,333754815.0,219.0,2164311147.0,65744402.0,0.521124,0.435089,-0.052932078707727,-10.89346,-40207768.77085763,-10.75182,771041667.0,5000000000.0,5000000000.0
guildfi,gf,GuildFi,0.38297588744148203,292456878.0,233.0,385153040.0,3106389.0,0.43988000000000005,0.37859499999999996,-0.013947006788682001,-3.51378,60887280.0,26.2933,759326417.400167,1000000000.0,1000000000.0
yield-guild-games,ygg,Yield Guild Games,0.9171013765207541,287241839.0,235.0,917201124.0,194077908.0,1.048,0.9194289999999999,-0.038721018704948006,-4.05107,-12223586.064961553,-4.0818,313172139.8780632,1000000000.0,1000000000.0
chromaway,chr,Chromia,0.307407287434659,251096574.0,257.0,251096574.0,12889130.0,0.341929,0.30736199999999997,-0.024653397189600003,-7.42436,-18650920.882653296,-6.91421,812434439.326204,812434439.326204,978064789.0
wilder-world,wild,Wilder World,0.8940214331709021,249551341.0,258.0,447054256.0,1217301.0,0.917817,0.8671949999999999,-0.003388577702861,-0.3776,-970597.5165825784,-0.38743000000000005,279106325.59565735,500000000.0,500000000.0
wax,waxp,WAX,0.06998649194614201,240496025.0,267.0,263818265.0,6855134.0,0.077447,0.07009499999999999,-0.005164692448850001,-6.8724,-17895358.609464347,-6.92568,3436998434.33715,3770303327.0,3770303327.0
xai-blockchain,xai,Xai,0.7373139210374281,203985452.0,296.0,724676443.0,30520351.0,0.861211,0.7369359999999999,-0.05445776409887101,-6.87796,-15595808.340737611,-7.10252,277118150.0,984486851.0,2500000000.0
magic,magic,Magic,0.797904367980072,203412064.0,297.0,271051384.0,32620681.0,0.8971500000000001,0.800124,-0.072124711192318,-8.28992,-18202851.915546536,-8.21373,254888918.815934,339645510.317976,347714007.0
smooth-love-potion,slp,Smooth Love Potion,0.004139612264185,171441762.0,327.0,,16240529.0,0.00464671,0.0041377,-0.00032192686201400005,-7.2156,-13597193.301063508,-7.34829,41369158816.0,,
big-time,bigtime,Big Time,0.194759698401817,162822568.0,344.0,978585168.0,34527104.0,0.219071,0.195382,-0.019336172763274,-9.03155,-14859728.445732534,-8.36309,831928450.40585,5000000000.0,5000000000.0
